Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
18-05-2024,6,nr,11,nr,nr,19,nr,nr,nr,18,nr,nr,nr,24,15,nr,nr,nr,nr,11,nr,nr,nr,19,nr,nr,19,17,nr,17,18,nr,nr,13,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
18-05-2024,7,nr,13,nr,nr,19,nr,nr,nr,16,nr,nr,nr,19,14,nr,nr,nr,nr,11,nr,nr,nr,19,nr,nr,19,17,nr,16,18,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
18-05-2024,8,nr,17,nr,nr,20,nr,nr,nr,19,nr,nr,nr,19,17,nr,nr,nr,nr,13,nr,nr,nr,21,nr,nr,20,19,nr,18,19,nr,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
18-05-2024,9,nr,19,nr,nr,22,nr,nr,nr,23,nr,nr,nr,22,22,nr,22,nr,nr,18,nr,nr,nr,23,nr,nr,21,nr,nr,21,21,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
18-05-2024,10,nr,20,nr,nr,24,nr,nr,nr,26,nr,nr,nr,27,25,nr,24,nr,nr,21,nr,nr,nr,24,nr,nr,23,22,nr,24,23,nr,nr,24,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
18-05-2024,11,nr,21,nr,nr,25,nr,nr,nr,29,nr,nr,nr,28,27,nr,26,nr,nr,22,nr,nr,nr,26,nr,nr,25,24,nr,26,25,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
18-05-2024,12,nr,23,nr,nr,26,nr,nr,nr,31,nr,nr,nr,30,29,nr,27,nr,nr,23,nr,nr,nr,28,nr,nr,26,26,nr,28,27,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,25,nr,nr,
18-05-2024,13,nr,24,nr,nr,28,nr,nr,nr,32,nr,nr,nr,nr,30,nr,29,nr,nr,24,nr,nr,nr,29,nr,nr,28,27,nr,29,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
18-05-2024,14,nr,26,nr,nr,29,nr,nr,nr,33,nr,nr,nr,nr,32,nr,31,nr,nr,25,nr,nr,nr,31,nr,nr,29,nr,nr,30,30,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,28,nr,nr,
18-05-2024,15,nr,27,nr,nr,30,nr,nr,nr,35,nr,nr,nr,nr,33,nr,31,nr,nr,26,nr,nr,nr,31,nr,nr,30,29,nr,31,31,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,29,nr,nr,
18-05-2024,16,nr,27,nr,nr,31,nr,nr,nr,35,nr,nr,nr,nr,33,nr,32,nr,nr,25,nr,nr,nr,nr,nr,nr,31,30,nr,32,32,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,30,nr,nr,
18-05-2024,17,nr,27,nr,nr,31,nr,nr,nr,36,nr,nr,nr,nr,32,nr,32,nr,nr,23,nr,nr,nr,32,nr,nr,31,29,nr,32,31,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,29,nr,nr,
18-05-2024,18,nr,25,nr,nr,29,nr,nr,nr,31,nr,nr,nr,nr,29,nr,29,nr,nr,21,nr,nr,nr,30,nr,nr,28,28,nr,27,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,
18-05-2024,19,nr,17,nr,nr,24,nr,nr,nr,25,nr,nr,nr,nr,27,nr,26,nr,nr,20,nr,nr,nr,26,nr,nr,24,22,nr,21,27,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
18-05-2024,20,nr,15,nr,nr,23,nr,nr,nr,24,nr,nr,nr,nr,23,nr,24,nr,nr,nr,nr,nr,nr,24,nr,nr,24,20,nr,22,25,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
18-05-2024,21,nr,17,nr,nr,24,nr,nr,nr,23,nr,nr,nr,nr,22,nr,25,nr,nr,17,nr,nr,nr,25,nr,nr,24,21,nr,23,25,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
18-05-2024,22,nr,16,nr,nr,24,nr,nr,nr,23,nr,nr,nr,nr,22,nr,25,nr,nr,15,nr,nr,nr,25,nr,nr,24,22,nr,23,25,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
18-05-2024,23,nr,15,nr,nr,24,nr,nr,nr,23,nr,nr,nr,nr,21,nr,24,nr,nr,16,nr,nr,nr,25,nr,nr,23,20,nr,21,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
18-05-2024,24,nr,14,nr,nr,22,nr,nr,nr,23,nr,nr,nr,nr,20,nr,23,nr,nr,16,nr,nr,nr,24,nr,nr,23,20,nr,21,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,
19-05-2024,1,nr,14,nr,nr,22,nr,nr,nr,19,nr,nr,nr,nr,18,nr,22,nr,nr,14,nr,nr,nr,23,nr,nr,22,nr,nr,20,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
19-05-2024,2,nr,13,nr,nr,21,nr,nr,nr,17,nr,nr,nr,nr,16,nr,22,nr,nr,13,nr,nr,nr,23,nr,nr,21,18,nr,19,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
19-05-2024,3,nr,13,nr,nr,20,nr,nr,nr,16,nr,nr,nr,nr,15,nr,21,nr,nr,12,nr,nr,nr,22,nr,nr,20,17,nr,18,21,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
19-05-2024,4,nr,13,nr,nr,19,nr,nr,nr,15,nr,nr,nr,nr,15,nr,20,nr,nr,12,nr,nr,nr,21,nr,nr,20,17,nr,18,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
19-05-2024,5,nr,12,nr,nr,19,nr,nr,nr,14,nr,nr,nr,nr,14,nr,19,nr,nr,12,nr,nr,nr,20,nr,nr,19,16,nr,17,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
19-05-2024,6,nr,11,nr,nr,18,nr,nr,nr,14,nr,nr,nr,nr,14,nr,18,nr,nr,12,nr,nr,nr,19,nr,nr,18,15,nr,16,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
19-05-2024,7,nr,10,nr,nr,18,nr,nr,nr,13,nr,nr,nr,nr,14,nr,19,nr,nr,12,nr,nr,nr,19,nr,nr,17,15,nr,15,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,
19-05-2024,8,nr,12,nr,nr,18,nr,nr,nr,17,nr,nr,nr,nr,16,nr,20,nr,nr,14,nr,nr,nr,20,nr,nr,18,17,nr,16,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
19-05-2024,9,nr,13,nr,nr,19,nr,nr,nr,22,nr,nr,nr,nr,19,nr,21,nr,nr,15,nr,nr,nr,21,nr,nr,20,19,nr,18,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
19-05-2024,10,nr,15,nr,nr,21,nr,nr,nr,24,nr,nr,nr,nr,22,nr,23,nr,nr,17,nr,nr,nr,23,nr,nr,22,20,nr,21,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
19-05-2024,11,nr,19,nr,nr,23,nr,nr,nr,26,nr,nr,nr,nr,25,nr,25,nr,nr,19,nr,nr,nr,25,nr,nr,24,22,nr,23,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,
19-05-2024,12,nr,21,nr,nr,25,nr,nr,nr,28,nr,nr,nr,nr,27,nr,26,nr,nr,22,nr,nr,nr,27,nr,nr,25,24,nr,26,26,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
19-05-2024,13,nr,24,nr,nr,27,nr,nr,nr,31,nr,nr,nr,nr,29,nr,28,nr,nr,23,nr,nr,nr,28,nr,nr,27,25,nr,28,28,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
19-05-2024,14,nr,24,nr,nr,28,nr,nr,nr,33,nr,nr,nr,nr,31,nr,29,nr,nr,24,nr,nr,nr,29,nr,nr,28,27,nr,29,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,
19-05-2024,15,nr,25,nr,nr,29,nr,nr,nr,34,nr,nr,nr,nr,31,nr,31,nr,nr,24,nr,nr,nr,30,nr,nr,29,28,nr,30,30,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,28,nr,nr,
19-05-2024,16,nr,25,nr,nr,29,nr,nr,nr,35,nr,nr,nr,nr,32,nr,31,nr,nr,25,nr,nr,nr,31,nr,nr,30,28,nr,31,31,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,29,nr,nr,
19-05-2024,17,nr,25,nr,nr,29,nr,nr,nr,32,nr,nr,nr,nr,31,nr,30,nr,nr,25,nr,nr,nr,31,nr,nr,30,28,nr,27,30,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,
19-05-2024,18,nr,19,nr,nr,24,nr,nr,nr,31,nr,nr,nr,nr,27,nr,30,nr,nr,24,nr,nr,nr,30,nr,nr,28,24,nr,25,30,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
19-05-2024,19,nr,20,nr,nr,25,nr,nr,nr,28,nr,nr,nr,nr,22,nr,28,nr,nr,22,nr,nr,nr,27,nr,nr,26,25,nr,25,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
19-05-2024,20,nr,19,nr,nr,25,nr,nr,nr,29,nr,nr,nr,nr,25,nr,27,nr,nr,19,nr,nr,nr,27,nr,nr,25,23,nr,24,27,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
19-05-2024,21,nr,19,nr,nr,24,nr,nr,nr,29,nr,nr,nr,nr,24,nr,26,nr,nr,18,nr,nr,nr,27,nr,nr,25,23,nr,24,25,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
19-05-2024,22,nr,19,nr,nr,25,nr,nr,nr,26,nr,nr,nr,nr,23,nr,25,nr,nr,17,nr,nr,nr,25,nr,nr,24,23,nr,23,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
19-05-2024,23,nr,17,nr,nr,24,nr,nr,nr,23,nr,nr,nr,nr,21,nr,24,nr,nr,16,nr,nr,nr,24,nr,nr,23,21,nr,22,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
19-05-2024,24,nr,15,nr,nr,23,nr,nr,nr,21,nr,nr,nr,nr,20,nr,23,nr,nr,15,nr,nr,nr,24,nr,nr,22,20,nr,21,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,
20-05-2024,1,nr,14,nr,nr,21,nr,nr,nr,19,nr,nr,nr,nr,19,nr,22,nr,nr,14,nr,nr,nr,23,nr,nr,21,19,nr,20,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
20-05-2024,2,nr,14,nr,nr,21,nr,nr,nr,20,nr,nr,nr,nr,17,nr,21,nr,nr,13,nr,nr,nr,22,nr,nr,21,19,nr,19,21,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
20-05-2024,3,nr,13,nr,nr,20,nr,nr,nr,19,nr,nr,nr,nr,16,nr,21,nr,nr,12,nr,nr,nr,22,nr,nr,21,18,nr,18,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
20-05-2024,4,nr,12,nr,nr,19,nr,nr,nr,19,nr,nr,nr,nr,15,nr,20,nr,nr,12,nr,nr,nr,21,nr,nr,20,18,nr,17,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
20-05-2024,5,nr,12,nr,nr,19,nr,nr,nr,18,nr,nr,nr,nr,14,nr,20,nr,nr,11,nr,nr,nr,21,nr,nr,19,17,nr,17,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
20-05-2024,6,nr,11,nr,nr,18,nr,nr,nr,17,nr,nr,nr,nr,13,nr,19,nr,nr,11,nr,nr,nr,20,nr,nr,19,16,nr,17,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
20-05-2024,7,nr,11,nr,nr,18,nr,nr,nr,16,nr,nr,nr,nr,13,nr,19,nr,nr,11,nr,nr,nr,20,nr,nr,19,16,nr,16,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
20-05-2024,8,nr,15,nr,nr,19,nr,nr,nr,20,nr,nr,nr,nr,15,nr,20,nr,nr,14,nr,nr,nr,21,nr,nr,20,18,nr,18,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
20-05-2024,9,nr,17,nr,nr,21,nr,nr,nr,24,nr,nr,nr,nr,20,nr,22,nr,nr,17,nr,nr,nr,23,nr,nr,21,20,nr,21,21,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
20-05-2024,10,nr,19,nr,nr,23,nr,nr,nr,26,nr,nr,nr,nr,24,nr,24,nr,nr,19,nr,nr,nr,25,nr,nr,23,21,nr,23,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
20-05-2024,11,nr,21,nr,nr,25,nr,nr,nr,28,nr,nr,nr,nr,27,nr,26,nr,nr,22,nr,nr,nr,26,nr,nr,25,24,nr,26,25,nr,nr,26,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
20-05-2024,12,nr,23,22,nr,27,nr,nr,nr,31,nr,nr,nr,nr,29,nr,28,nr,nr,23,nr,nr,nr,28,nr,nr,27,26,nr,28,28,nr,nr,29,nr,nr,nr,nr,nr,nr,nr,nr,25,nr,nr,
20-05-2024,13,nr,24,24,nr,28,nr,nr,nr,33,nr,nr,nr,nr,30,nr,29,nr,nr,24,nr,nr,nr,30,nr,nr,28,nr,nr,30,29,nr,nr,30,nr,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,
20-05-2024,14,nr,25,24,nr,29,nr,nr,nr,34,nr,nr,nr,nr,31,nr,31,nr,nr,25,nr,nr,nr,31,nr,nr,30,28,nr,31,31,nr,nr,31,nr,nr,nr,nr,nr,nr,nr,nr,28,nr,nr,
20-05-2024,15,nr,26,25,nr,30,nr,nr,nr,35,nr,nr,nr,nr,32,nr,32,nr,nr,25,nr,nr,nr,31,nr,nr,30,29,nr,31,32,nr,nr,31,nr,nr,nr,nr,nr,nr,nr,nr,29,nr,nr,
20-05-2024,16,nr,26,24,nr,30,nr,nr,nr,36,nr,nr,nr,nr,31,nr,32,nr,nr,25,nr,nr,nr,32,nr,nr,31,28,nr,32,32,nr,nr,31,nr,nr,nr,nr,nr,nr,nr,nr,29,nr,nr,
20-05-2024,17,nr,26,22,nr,30,nr,nr,nr,35,nr,nr,nr,nr,31,nr,32,nr,nr,25,nr,nr,nr,32,nr,nr,32,29,nr,32,32,nr,nr,30,nr,nr,nr,nr,nr,nr,nr,nr,30,nr,nr,
20-05-2024,18,nr,26,20,nr,30,nr,nr,nr,35,nr,nr,nr,nr,30,nr,31,nr,nr,25,nr,nr,nr,32,nr,nr,31,29,nr,31,31,nr,nr,30,nr,nr,nr,nr,nr,nr,nr,nr,29,nr,nr,
20-05-2024,19,nr,24,19,nr,29,nr,nr,nr,33,nr,nr,nr,nr,29,nr,29,nr,nr,23,nr,nr,nr,30,nr,nr,30,28,nr,28,29,nr,nr,27,nr,nr,nr,nr,nr,nr,nr,nr,28,nr,nr,
20-05-2024,20,nr,22,18,nr,27,nr,nr,nr,31,nr,nr,nr,nr,26,nr,28,nr,nr,22,nr,nr,nr,29,nr,nr,28,26,nr,26,28,nr,nr,24,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
20-05-2024,21,nr,21,15,nr,26,nr,nr,nr,29,nr,nr,nr,nr,25,nr,26,nr,nr,21,nr,nr,nr,27,nr,nr,26,25,nr,25,26,nr,nr,22,nr,nr,nr,nr,nr,nr,nr,nr,25,nr,nr,
20-05-2024,22,nr,19,14,nr,25,nr,nr,nr,28,nr,nr,nr,nr,24,nr,25,nr,nr,20,nr,nr,nr,26,nr,nr,25,24,nr,24,25,nr,nr,21,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
20-05-2024,23,nr,18,16,nr,25,nr,nr,nr,26,nr,nr,nr,nr,23,nr,25,nr,nr,17,nr,nr,nr,25,nr,nr,24,23,nr,23,24,nr,nr,20,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
20-05-2024,24,nr,17,14,nr,24,nr,nr,nr,25,nr,nr,nr,nr,21,nr,24,nr,nr,16,nr,nr,nr,25,nr,nr,24,22,nr,22,24,nr,nr,19,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
21-05-2024,1,nr,15,12,nr,23,nr,nr,nr,21,nr,nr,nr,nr,19,nr,24,nr,nr,15,nr,nr,nr,24,nr,nr,22,21,nr,21,23,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
21-05-2024,2,nr,14,9,nr,22,nr,nr,nr,20,nr,nr,nr,nr,17,nr,23,nr,nr,15,nr,nr,nr,23,nr,nr,21,19,nr,20,23,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
21-05-2024,3,nr,14,8,nr,21,nr,nr,nr,19,nr,nr,nr,nr,16,nr,22,nr,nr,13,nr,nr,nr,22,nr,nr,21,18,nr,19,22,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
21-05-2024,4,nr,13,8,nr,20,nr,nr,nr,21,nr,nr,nr,nr,15,nr,20,nr,nr,12,nr,nr,nr,21,nr,nr,20,18,nr,19,20,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
21-05-2024,5,nr,12,8,nr,19,nr,nr,nr,20,nr,nr,nr,nr,14,nr,20,nr,nr,12,nr,nr,nr,20,nr,nr,20,17,nr,18,19,nr,nr,13,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
21-05-2024,6,nr,11,7,nr,19,nr,nr,nr,18,nr,nr,nr,nr,13,nr,19,nr,nr,11,nr,nr,nr,20,nr,nr,20,17,nr,17,19,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
21-05-2024,7,nr,12,7,nr,18,nr,nr,nr,17,nr,nr,nr,nr,12,nr,19,nr,nr,11,nr,nr,nr,21,nr,nr,19,17,nr,17,19,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
21-05-2024,8,nr,16,12,nr,20,nr,nr,nr,21,nr,nr,nr,nr,15,nr,21,nr,nr,13,nr,nr,nr,22,nr,nr,20,19,nr,19,19,nr,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
21-05-2024,9,nr,19,17,nr,22,nr,nr,nr,24,nr,nr,nr,nr,21,nr,23,nr,nr,17,nr,nr,nr,23,nr,nr,22,21,nr,22,21,nr,nr,21,nr,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,
21-05-2024,10,nr,20,19,nr,24,nr,nr,nr,27,nr,nr,nr,nr,25,nr,24,nr,nr,20,nr,nr,nr,25,nr,nr,24,23,nr,25,24,nr,nr,24,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
21-05-2024,11,nr,23,21,nr,26,nr,nr,nr,29,nr,nr,nr,nr,28,nr,27,nr,nr,22,nr,nr,nr,27,nr,nr,26,25,nr,27,26,nr,nr,27,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
21-05-2024,12,nr,24,23,nr,27,nr,nr,nr,32,nr,nr,nr,nr,30,nr,29,nr,nr,23,nr,nr,nr,29,nr,nr,27,26,nr,29,28,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
21-05-2024,13,nr,25,24,nr,29,nr,nr,nr,34,nr,nr,nr,nr,30,nr,30,nr,nr,25,nr,nr,nr,31,nr,nr,29,28,nr,31,30,nr,nr,31,nr,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,
21-05-2024,14,nr,26,25,nr,30,nr,nr,nr,34,nr,nr,nr,nr,31,nr,31,nr,nr,25,nr,nr,nr,32,nr,nr,30,29,nr,31,31,nr,nr,32,nr,nr,nr,nr,nr,nr,nr,nr,28,nr,nr,
21-05-2024,15,nr,27,25,nr,30,nr,nr,nr,35,nr,nr,nr,nr,32,nr,32,nr,nr,26,nr,nr,nr,32,nr,nr,31,29,nr,32,33,nr,nr,33,nr,nr,nr,nr,nr,nr,nr,nr,29,nr,nr,
21-05-2024,16,nr,28,25,nr,31,nr,nr,nr,nr,nr,nr,nr,nr,33,nr,33,nr,nr,26,nr,nr,nr,33,nr,nr,32,30,nr,33,33,nr,nr,32,nr,nr,nr,nr,nr,nr,nr,nr,30,nr,nr,
21-05-2024,17,nr,28,23,nr,31,nr,nr,nr,nr,nr,nr,nr,nr,32,nr,33,nr,nr,26,nr,nr,nr,33,nr,nr,33,30,nr,33,33,nr,nr,32,nr,nr,nr,nr,nr,nr,nr,nr,31,nr,nr,
21-05-2024,18,nr,28,21,nr,31,nr,nr,nr,32,nr,nr,nr,nr,32,nr,33,nr,nr,26,nr,nr,nr,33,nr,nr,31,30,nr,30,33,nr,nr,31,nr,nr,nr,nr,nr,nr,nr,nr,31,nr,nr,
21-05-2024,19,nr,27,19,nr,30,nr,nr,nr,28,nr,nr,nr,nr,30,nr,31,nr,nr,22,nr,nr,nr,31,nr,nr,29,29,nr,28,30,nr,nr,29,nr,nr,nr,nr,nr,nr,nr,nr,28,nr,nr,
21-05-2024,20,nr,22,17,nr,27,nr,nr,nr,27,nr,nr,nr,nr,28,nr,28,nr,nr,20,nr,nr,nr,28,nr,nr,27,26,nr,26,28,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
21-05-2024,21,nr,19,16,nr,25,nr,nr,nr,26,nr,nr,nr,nr,26,nr,27,nr,nr,18,nr,nr,nr,27,nr,nr,26,nr,nr,25,27,nr,nr,23,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
21-05-2024,22,nr,18,15,nr,25,nr,nr,nr,26,nr,nr,nr,nr,24,nr,26,nr,nr,17,nr,nr,nr,26,nr,nr,25,24,nr,24,26,nr,nr,21,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
21-05-2024,23,nr,17,14,nr,25,nr,nr,nr,25,nr,nr,nr,nr,23,nr,25,nr,nr,16,nr,nr,nr,26,nr,nr,25,23,nr,23,25,nr,nr,21,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
21-05-2024,24,nr,17,13,nr,24,nr,nr,nr,25,nr,nr,nr,nr,22,nr,25,nr,nr,15,nr,nr,nr,25,nr,nr,24,22,nr,22,24,nr,nr,20,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
22-05-2024,1,nr,16,12,nr,24,nr,nr,nr,24,nr,nr,nr,nr,21,nr,24,nr,nr,15,nr,nr,nr,25,nr,nr,23,21,nr,21,24,nr,nr,19,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
22-05-2024,2,nr,15,12,nr,23,nr,nr,nr,23,nr,nr,nr,nr,20,nr,23,nr,nr,15,nr,nr,nr,24,nr,nr,22,21,nr,20,23,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
22-05-2024,3,nr,14,11,nr,22,nr,nr,nr,22,nr,nr,nr,nr,19,nr,23,nr,nr,14,nr,nr,nr,24,nr,nr,22,20,nr,19,22,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,
22-05-2024,4,nr,14,11,nr,21,nr,nr,nr,21,nr,nr,nr,nr,18,nr,22,nr,nr,13,nr,nr,nr,23,nr,nr,21,19,nr,18,22,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
22-05-2024,5,nr,13,9,nr,21,nr,nr,nr,20,nr,nr,nr,nr,17,nr,21,nr,nr,13,nr,nr,nr,23,nr,nr,20,19,nr,17,21,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
22-05-2024,6,nr,12,8,nr,21,nr,nr,nr,nr,nr,nr,nr,nr,15,nr,21,nr,nr,13,nr,nr,nr,22,nr,nr,20,18,nr,17,21,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
22-05-2024,7,nr,12,8,nr,20,nr,nr,nr,19,nr,nr,nr,nr,15,nr,21,nr,nr,13,nr,nr,nr,21,nr,nr,20,nr,nr,17,20,nr,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
22-05-2024,8,nr,16,12,nr,21,nr,nr,nr,21,nr,nr,nr,nr,18,nr,21,nr,nr,15,nr,nr,nr,22,nr,nr,21,nr,nr,nr,21,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
22-05-2024,9,nr,19,17,nr,22,nr,nr,nr,25,nr,nr,nr,nr,22,nr,23,nr,nr,18,nr,nr,nr,24,nr,nr,22,21,nr,22,22,nr,nr,21,nr,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,
22-05-2024,10,nr,20,19,nr,24,nr,nr,nr,28,nr,nr,nr,nr,25,nr,25,nr,nr,19,nr,nr,nr,25,nr,nr,24,22,nr,23,24,nr,nr,24,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
22-05-2024,11,nr,22,21,nr,25,nr,nr,nr,29,nr,nr,nr,nr,27,nr,26,nr,nr,21,nr,nr,nr,27,nr,nr,25,24,nr,25,26,nr,nr,26,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
22-05-2024,12,nr,23,21,nr,26,nr,nr,nr,30,nr,nr,nr,nr,29,nr,28,nr,nr,22,nr,nr,nr,28,nr,nr,27,25,nr,27,27,nr,nr,27,nr,nr,nr,nr,nr,nr,nr,nr,25,nr,nr,
22-05-2024,13,nr,25,23,nr,27,nr,nr,nr,32,nr,nr,nr,nr,31,nr,29,nr,nr,24,nr,nr,nr,30,nr,nr,28,27,nr,30,29,nr,nr,30,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
22-05-2024,14,nr,26,24,nr,29,nr,nr,nr,34,nr,nr,nr,nr,32,nr,31,nr,nr,25,nr,nr,nr,31,nr,nr,30,27,nr,30,30,nr,nr,32,nr,nr,nr,nr,nr,nr,nr,nr,28,nr,nr,
22-05-2024,15,nr,28,23,nr,30,nr,nr,nr,35,nr,nr,nr,nr,32,nr,31,nr,nr,24,nr,nr,nr,31,nr,nr,31,29,nr,31,31,nr,nr,33,nr,nr,nr,nr,nr,nr,nr,nr,29,nr,nr,
22-05-2024,16,nr,27,21,nr,30,nr,nr,nr,36,nr,nr,nr,nr,32,nr,32,nr,nr,22,nr,nr,nr,32,nr,nr,31,29,nr,32,32,nr,nr,32,nr,nr,nr,nr,nr,nr,nr,nr,29,nr,nr,
